D AACHEN01;Niemcy;RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN;W6;Geoinżynierii, Górnictwa i Geologii;false;;true;;false;;"(1,10)";0520;Engineering and engineering trades;;14.03.2014;30.09.2021
D AACHEN01;Niemcy;RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN;W10;Mechaniczny;true;;true;;false;;"(4,10)";0521;Mechanics and metal work;;01.01.2014;30.09.2021
D AACHEN01;Niemcy;RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN;W5;Elektryczny;true;;true;;false;;"(3,10)";0713;Electricity and energy;;10.07.2017;30.09.2021
D BERLIN04;Niemcy;BEUTH HOCHSCHULE FUR TECHNIK;W8N;Zarządzania;true;;true;;false;;"(2,6)";0345;Management and administration;;12.01.2015;30.09.2021
D BERLIN13;Niemcy;HUMBOLDT-UNIVERSITÄT ZU BERLIN;W8N;Zarządzania;true;;true;;true;;"(1,5)";0340;Business and Administration;;10.01.2014;30.09.2021
D BERLIN21;Niemcy;SRH HOCHSCHULE BERLIN;W8N;Zarządzania;true;;true;;false;;"(3,5)";0410;Business and Administration;;15.09.2014;30.09.2022
D BIELEFE01;Niemcy;UNIVERSITÄT BIELEFELD;W3;Chemiczny;true;;true;;true;;"(2,6)";0442;Chemistry;;06.02.2014;30.09.2021
D BIELEFE02;Niemcy;FACHHOCHSCHULE BIELEFELD;W4N;Informatyki i Telekomunikacji;true;;true;;true;;"(2,10)";0610;Information and communication technologies - ICT;;22.09.2014;30.09.2022
D BIELEFE02;Niemcy;FACHHOCHSCHULE BIELEFELD;W5;Elektryczny;true;;true;;false;;"(2,10)";0522;Electricity and energy;;25.04.2017;30.09.2021
D BRAUNSC01;Niemcy;TECHNISCHE UNIVERSITAT BRAUNSCHWEIG;W10;Mechaniczny;true;;true;;true;;"(2,10)";0520;Engineering and engineering trades;;21.11.2017;30.09.2021
D BREMEN04;Niemcy;HOCHSCHULE BREMEN;W10;Mechaniczny;true;;true;;false;;"(1,6)";0530;Physical sciences;;15.08.2014;30.09.2021
D CLAUSTH01;Niemcy;TECHNISCHE UNIVERSITÄT CLAUSTHAL;W9;Mechaniczno-Energetyczny;true;;true;;true;;"(2,10)";0521;Mechanics and metal work;;22.01.2014;30.09.2021
D COTTBUS03;Niemcy;BRANDENBURGISCHE TECHNISCHE UNIVERSITÄT COTTBUS - SENFTENBERG;W10;Mechaniczny;true;;true;;true;;"(2,10)";0715;Mechanics and metal trades;;12.05.2015;30.09.2022
D COTTBUS03;Niemcy;BRANDENBURGISCHE TECHNISCHE UNIVERSITÄT COTTBUS - SENFTENBERG;W5;Elektryczny;true;;true;;false;;"(5,6)";0522;Electricity and energy;;12.05.2015;30.09.2021
D COTTBUS03;Niemcy;BRANDENBURGISCHE TECHNISCHE UNIVERSITÄT COTTBUS - SENFTENBERG;W1;Architektury;false;;true;;false;;"(2,9)";0581;Architecture and town planning;;12.05.2015;30.09.2021
D COTTBUS03;Niemcy;BRANDENBURGISCHE TECHNISCHE UNIVERSITÄT COTTBUS - SENFTENBERG;W2;Budownictwa;true;;true;;false;;"(5,6)";0582;Building and civil engineering;;12.05.2015;30.09.2021
D DARMSTA01;Niemcy;TECHNISCHE UNIVERSITÄT DARMSTADT;W7;Inżynierii Środowiska;true;;true;;false;;"(2,5)";0850;Environmental protection (broad programmes);;13.01.2013;30.09.2021
D DARMSTA02;Niemcy;HOCHSCHULE DARMSTADT;W12N;Elektroniki Fotoniki i Mikrosystemów;true;;true;;false;;"(2,10)";0714;Electronics and automation;;12.01.2018;30.09.2021
D DRESDEN01;Niemcy;HOCHSCHULE FUR TECHNIK UND WIRTSCHAFT DRESDEN;W6;Geoinżynierii, Górnictwa i Geologii;true;;true;;true;;"(2,10)";0520;Engineering and engineering trades;;19.02.2015;30.09.2021
D DRESDEN02;Niemcy;TECHNISCHE UNIVERSITÄT DRESDEN;W4N;Informatyki i Telekomunikacji;true;;true;;false;;"(5,10)";0481;Computer science;;14.02.2014;30.09.2021
D DRESDEN02;Niemcy;TECHNISCHE UNIVERSITÄT DRESDEN;W10;Mechaniczny;true;;true;;true;;"(5,6)";0520;Engineering and engineering trades;;03.12.2013;30.09.2021
D DRESDEN02;Niemcy;TECHNISCHE UNIVERSITÄT DRESDEN;W12N;Elektroniki Fotoniki i Mikrosystemów;true;;true;;false;;"(2,10)";0523;Electronics and automation;;01.01.2014;30.09.2021
D DRESDEN02;Niemcy;TECHNISCHE UNIVERSITÄT DRESDEN;W9;Mechaniczno-Energetyczny;true;;true;;true;;"(1,6)";0524;Chemical and process;;10.12.2013;30.09.2021
D DRESDEN02;Niemcy;TECHNISCHE UNIVERSITÄT DRESDEN;W1;Architektury;true;;true;;true;;"(2,10)";0580;Architecture and building;;10.12.2013;30.09.2021
D DRESDEN02;Niemcy;TECHNISCHE UNIVERSITÄT DRESDEN;W2;Budownictwa;true;;true;;true;;"(2,10)";0582;Building and civil engineering;;20.01.2014;30.09.2021
D EMDEN02;Niemcy;HOCHSCHULE EMDEN/LEER;W10;Mechaniczny;true;;false;;false;;"(15,4)";0410;Business and Administration;;28.04.2014;30.09.2021
D EMDEN02;Niemcy;HOCHSCHULE EMDEN/LEER;W7;Inżynierii Środowiska;true;;true;;false;;"(10,6)";0521;Environmental sciences;;28.04.2014;30.09.2021
D ERFURT03;Niemcy;FACHHOCHSCHULE ERFURT;W1;Architektury;true;;true;;false;;"(2,10)";0581;Architecture and town planning;;09.02.2015;30.09.2021
D ERLANGE01;Niemcy;FRIEDRICH-ALEXANDER-UNIVERSITÄT ERLANGEN-NÜRNBERG;W4N;Informatyki i Telekomunikacji;false;;true;;false;;"(4,5)";0481;Computer science;;28.01.2014;30.09.2021
D FREIBER01;Niemcy;TU BERGAKADEMIE FREIBERG;W6;Geoinżynierii, Górnictwa i Geologii;false;;true;;false;;"(1,10)";0532;Earth sciences;;27.02.2014;30.09.2021
D KAISERS01;Niemcy;TECHNISCHE UNIVERSITÄT KAISERSLAUTERN;W13;Matematyki;true;;true;;false;;"(4,6)";0541;Mathematics;;27.04.2016;30.09.2021
D KAISERS01;Niemcy;TECHNISCHE UNIVERSITÄT KAISERSLAUTERN;W10;Mechaniczny;true;;true;;false;;"(2,6)";0715;Mechanics and metal trades;;27.04.2016;30.09.2021
